Country,YearsProgram,DeveloperType,HaveWorkedLanguage,Salary
United Kingdom,1 to 2 years,NA,Assembly; C; Java; JavaScript; Python; R; SQL,NA
Norway,1 to 2 years,NA,NA,NA
United States,1 to 2 years,Web developer,JavaScript; Ruby,NA
Finland,1 to 2 years,NA,Java; R,NA
Italy,1 to 2 years,NA,C; C++; C#; JavaScript,NA
Portugal,1 to 2 years,NA,Java; PHP; SQL,NA
Brazil,1 to 2 years,NA,C,NA
India,1 to 2 years,NA,C; Java; SQL,NA
India,1 to 2 years,Mobile developer,C#; Objective-C; Swift,440.463955366319
China,1 to 2 years,NA,Assembly; C; C++; Python; Swift,NA
United States,1 to 2 years,NA,C#; Java; R,NA
Czech Republic,1 to 2 years,NA,C++,NA
United States,1 to 2 years,Web developer,JavaScript; Python; Ruby; SQL,NA
United States,1 to 2 years,NA,C; Erlang; Go; Java; JavaScript; Python,NA
United States,1 to 2 years,NA,Python; SQL,NA
Russian Federation,1 to 2 years,Mobile developer,Objective-C; Python; Swift,18045.1127819549
Germany,1 to 2 years,NA,C#; Groovy; Java; JavaScript; PHP; SQL; Swift; VBA,NA
Canada,1 to 2 years,NA,Assembly; C++; JavaScript; Matlab; PHP,NA
India,1 to 2 years,Desktop applications developer; Database administrator,Java; SQL,NA
India,1 to 2 years,NA,Python,NA
Germany,1 to 2 years,Desktop applications developer,C; Matlab; Python; SQL; VBA; Visual Basic 6,NA
Croatia,1 to 2 years,NA,C++; C#; Java; JavaScript; PHP; SQL,NA
Canada,1 to 2 years,NA,Python; R,NA
United States,1 to 2 years,NA,Java; JavaScript; PHP; Python; Ruby; SQL; Swift,NA
Canada,1 to 2 years,NA,NA,NA
Argentina,1 to 2 years,NA,Java; JavaScript; PHP; SQL; Visual Basic 6,NA
Russian Federation,1 to 2 years,NA,JavaScript; PHP; SQL,NA
India,1 to 2 years,Web developer; Developer with a statistics or mathematics background; Database administrator,Java,NA
Bangladesh,1 to 2 years,NA,Go; Python,NA
India,1 to 2 years,NA,C; C++; JavaScript; PHP; SQL,NA
Sri Lanka,1 to 2 years,NA,C++; Java; JavaScript; Python,NA
Ireland,1 to 2 years,NA,C++; C#; Go; Haskell; Java; Python; Scala,NA
Iran,1 to 2 years,NA,Java,NA
India,1 to 2 years,Web developer,C; C++; Java; JavaScript; PHP; SQL,2642.78373219792
India,1 to 2 years,Web developer; Database administrator; Quality assurance engineer,JavaScript; PHP; Python; SQL,NA
Croatia,1 to 2 years,NA,Java,NA
Italy,1 to 2 years,NA,C; C++; C#; Swift,NA
Australia,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
United Kingdom,1 to 2 years,NA,NA,NA
Poland,1 to 2 years,NA,C++; JavaScript,NA
Tanzania,1 to 2 years,NA,Python; R; SQL,NA
United States,1 to 2 years,NA,NA,NA
China,1 to 2 years,Web developer,JavaScript; Python; Ruby,NA
Bosnia-Herzegovina,1 to 2 years,NA,Java,NA
United States,1 to 2 years,NA,Java; Python,NA
Peru,1 to 2 years,Web developer; Mobile developer; Embedded applications/devices developer; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist; Desktop applications developer; Database administrator; Systems administrator; DevOps specialist,C; C++; Go; Java; JavaScript; Python; R; Ruby; SQL; VBA,NA
Italy,1 to 2 years,NA,C++; PHP; Swift,NA
United States,1 to 2 years,NA,VBA,NA
India,1 to 2 years,NA,C; C++; Java; SQL,NA
United Kingdom,1 to 2 years,NA,NA,NA
Pakistan,1 to 2 years,Mobile developer,Java,2480.91603053435
United Kingdom,1 to 2 years,NA,NA,NA
Spain,1 to 2 years,NA,NA,NA
Japan,1 to 2 years,NA,Assembly; C; C++; Go; Haskell; JavaScript; Perl; Python; SQL,NA
India,1 to 2 years,NA,C++; Java; JavaScript; PHP; SQL,NA
Canada,1 to 2 years,NA,Java; SQL,NA
Australia,1 to 2 years,NA,C; Java; SQL; Swift,NA
India,1 to 2 years,Web developer,Java; JavaScript,NA
Romania,1 to 2 years,Web developer,PHP,8064.51612903226
Russian Federation,1 to 2 years,NA,Python,NA
United States,1 to 2 years,NA,Java; Matlab; Python; SQL; Visual Basic 6,NA
France,1 to 2 years,NA,C#; JavaScript; PHP; SQL,NA
United States,1 to 2 years,NA,C++; Matlab; Python,NA
Singapore,1 to 2 years,NA,C++,NA
United States,1 to 2 years,NA,JavaScript; Python; Ruby; SQL,NA
India,1 to 2 years,Web developer; Mobile developer,Java; JavaScript; SQL,NA
Kenya,1 to 2 years,NA,C#; Java; JavaScript; PHP; Python; SQL,NA
Philippines,1 to 2 years,NA,Java; PHP; SQL,NA
Canada,1 to 2 years,NA,C++; Java,NA
Kenya,1 to 2 years,NA,C; Java; PHP; SQL,NA
Spain,1 to 2 years,NA,Java; PHP,NA
Indonesia,1 to 2 years,NA,Swift,NA
Pakistan,1 to 2 years,NA,Java; Python,NA
United Kingdom,1 to 2 years,NA,VB.NET; VBA; Visual Basic 6,NA
Serbia,1 to 2 years,NA,PHP; SQL,NA
Indonesia,1 to 2 years,NA,C; C++; C#; PHP; SQL,NA
Malaysia,1 to 2 years,Web developer,Groovy; Java; JavaScript; SQL,NA
Sri Lanka,1 to 2 years,NA,C; JavaScript; PHP; Python; SQL,NA
United Kingdom,1 to 2 years,NA,Java; Python; VBA,NA
India,1 to 2 years,NA,C; Swift,NA
Taiwan,1 to 2 years,NA,NA,NA
India,1 to 2 years,Mobile developer,Java,NA
India,1 to 2 years,NA,Assembly; C; PHP; SQL,NA
United States,1 to 2 years,NA,C++; Swift,NA
India,1 to 2 years,Mobile developer,Objective-C,2660.40229041257
India,1 to 2 years,Other,NA,NA
Spain,1 to 2 years,Web developer,JavaScript; PHP,NA
Kenya,1 to 2 years,Web developer; Data scientist; Database administrator; DevOps specialist,Go; JavaScript; Python; SQL; TypeScript,NA
United States,1 to 2 years,NA,NA,NA
United Kingdom,1 to 2 years,NA,JavaScript; Perl; Python,NA
Malaysia,1 to 2 years,NA,C++; C#,NA
France,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
France,1 to 2 years,Web developer,NA,NA
United States,1 to 2 years,NA,NA,NA
Germany,1 to 2 years,Developer with a statistics or mathematics background; Desktop applications developer,C++; Java,29540.8602150538
Iran,1 to 2 years,NA,C#,NA
Canada,1 to 2 years,NA,Assembly; C; C++; C#; Java; JavaScript; Lua; Python; Swift; VB.NET,NA
Egypt,1 to 2 years,Web developer; Mobile developer; Data scientist; Desktop applications developer,Python,NA
Denmark,1 to 2 years,NA,C++; C#; Java; JavaScript; Lua,NA
Nigeria,1 to 2 years,NA,C; C++; JavaScript; Perl,NA
Tunisia,1 to 2 years,NA,Assembly; C++; CoffeeScript; Clojure,NA
India,1 to 2 years,NA,NA,NA
United Kingdom,1 to 2 years,Web developer,CoffeeScript; JavaScript; Ruby,32500
Russian Federation,1 to 2 years,Mobile developer,Java,NA
Poland,1 to 2 years,NA,C++; JavaScript; Python,NA
United States,1 to 2 years,NA,C; Perl,NA
Canada,1 to 2 years,NA,C++; C#; Java; JavaScript,NA
Germany,1 to 2 years,NA,C; C++; Haskell; Java,NA
Greece,1 to 2 years,NA,Java; JavaScript; PHP; Python; SQL,NA
Armenia,1 to 2 years,NA,Java,NA
United Kingdom,1 to 2 years,NA,Java; Python,NA
Croatia,1 to 2 years,NA,Groovy; Java; JavaScript; Python; SQL; TypeScript,NA
Ukraine,1 to 2 years,Web developer,JavaScript; PHP; SQL,NA
Germany,1 to 2 years,Web developer; Graphics programming,NA,NA
United States,1 to 2 years,NA,NA,NA
Bolivia,1 to 2 years,Mobile developer; Graphics programming; Desktop applications developer; Database administrator; Quality assurance engineer,C++; C#; Java; PHP; Python; SQL; Visual Basic 6,3e4
India,1 to 2 years,NA,NA,NA
Romania,1 to 2 years,NA,NA,NA
Canada,1 to 2 years,NA,NA,NA
Poland,1 to 2 years,NA,Python,NA
Mexico,1 to 2 years,Mobile developer,Java; PHP; SQL; Swift,260.956937799043
Ireland,1 to 2 years,Web developer,JavaScript; PHP,NA
United States,1 to 2 years,NA,Java; JavaScript; Python,NA
United Kingdom,1 to 2 years,NA,Python; R; VBA,NA
Germany,1 to 2 years,NA,R,NA
China,1 to 2 years,NA,JavaScript; PHP,NA
Qatar,1 to 2 years,NA,C#; JavaScript,NA
United States,1 to 2 years,NA,C#; Java; Visual Basic 6,NA
France,1 to 2 years,NA,C; C#; Python; Ruby,NA
Honduras,1 to 2 years,NA,C++; Java,NA
Italy,1 to 2 years,NA,Python,NA
Sweden,1 to 2 years,NA,Java,NA
United States,1 to 2 years,NA,VB.NET,NA
Indonesia,1 to 2 years,NA,C++; JavaScript; PHP; Python,NA
Estonia,1 to 2 years,NA,Java; JavaScript; PHP; SQL,NA
Uzbekistan,1 to 2 years,NA,C; C++; SQL,NA
India,1 to 2 years,NA,Java; SQL,NA
India,1 to 2 years,NA,Java; JavaScript; SQL,NA
Albania,1 to 2 years,NA,C++; C#; JavaScript; SQL,NA
United States,1 to 2 years,NA,Java; Python,NA
United States,1 to 2 years,NA,Python,NA
United States,1 to 2 years,NA,C#; JavaScript; Python,NA
Germany,1 to 2 years,NA,Java,NA
United Kingdom,1 to 2 years,NA,NA,NA
Ethiopia,1 to 2 years,NA,Visual Basic 6,NA
Iran,1 to 2 years,NA,NA,NA
India,1 to 2 years,Web developer,NA,NA
South Korea,1 to 2 years,Embedded applications/devices developer,NA,NA
India,1 to 2 years,Web developer,NA,11745.7054764352
Greece,1 to 2 years,NA,Java,NA
India,1 to 2 years,Web developer,JavaScript; PHP,NA
Poland,1 to 2 years,NA,C++; Ruby; Visual Basic 6,NA
India,1 to 2 years,Data scientist,C#; SQL,NA
Pakistan,1 to 2 years,Web developer; Desktop applications developer,C#; JavaScript; VB.NET,NA
Turkey,1 to 2 years,Web developer,PHP,NA
India,1 to 2 years,NA,Python,NA
India,1 to 2 years,Web developer; Mobile developer; Graphics programming; Database administrator; DevOps specialist,C++; JavaScript; Objective-C; SQL,NA
Thailand,1 to 2 years,NA,Erlang; F#; Go; Groovy; PHP; Smalltalk; VB.NET; VBA; Visual Basic 6,NA
India,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
Belgium,1 to 2 years,Web developer,NA,NA
United States,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
India,1 to 2 years,Mobile developer,NA,NA
United States,1 to 2 years,Web developer,NA,NA
India,1 to 2 years,NA,C; C#; JavaScript; PHP; TypeScript,NA
France,1 to 2 years,Data scientist; Database administrator,NA,NA
India,1 to 2 years,NA,NA,NA
Uganda,1 to 2 years,NA,C#; Java; JavaScript; PHP; TypeScript; VB.NET,NA
India,1 to 2 years,Web developer,JavaScript; PHP; SQL,NA
United Kingdom,1 to 2 years,Developer with a statistics or mathematics background,NA,37500
Slovak Republic,1 to 2 years,NA,NA,NA
Afghanistan,1 to 2 years,NA,NA,NA
Germany,1 to 2 years,NA,NA,NA
China,1 to 2 years,Mobile developer; Embedded applications/devices developer; Graphics programming; Machine learning specialist; Developer with a statistics or mathematics background; Graphic designer; DevOps specialist,C; Java; JavaScript; PHP; SQL,NA
Pakistan,1 to 2 years,Mobile developer,NA,NA
Nepal,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
Malaysia,1 to 2 years,NA,NA,NA
Poland,1 to 2 years,NA,NA,NA
Afghanistan,1 to 2 years,NA,NA,NA
Zambia,1 to 2 years,NA,VB.NET; Visual Basic 6,NA
Germany,1 to 2 years,Web developer,NA,29032.2580645161
India,1 to 2 years,NA,C++; C#; Java; JavaScript; Matlab; Python,NA
India,1 to 2 years,NA,NA,NA
India,1 to 2 years,Web developer; Desktop applications developer,NA,NA
Canada,1 to 2 years,NA,NA,NA
Italy,1 to 2 years,Web developer; Embedded applications/devices developer,NA,NA
United States,1 to 2 years,NA,Python; Ruby,NA
Hong Kong,1 to 2 years,NA,NA,NA
India,1 to 2 years,Web developer,C#; JavaScript; SQL; VB.NET,NA
France,1 to 2 years,NA,C++,NA
India,1 to 2 years,NA,NA,NA
Lithuania,1 to 2 years,NA,Java,NA
United Kingdom,1 to 2 years,NA,Python,NA
Philippines,1 to 2 years,NA,C; C++; Java,NA
Vietnam,1 to 2 years,NA,C; C++; CoffeeScript; JavaScript; Objective-C; PHP; Ruby; SQL; Visual Basic 6,NA
India,1 to 2 years,Web developer,JavaScript; Ruby,NA
United States,1 to 2 years,NA,Java,NA
Belarus,1 to 2 years,NA,Java,NA
Bulgaria,1 to 2 years,NA,JavaScript; SQL,NA
Germany,1 to 2 years,NA,Lua; PHP; SQL; TypeScript,NA
Azerbaidjan,1 to 2 years,NA,PHP; SQL,NA
Japan,1 to 2 years,DevOps specialist; Quality assurance engineer,CoffeeScript; Groovy; Java; JavaScript; Ruby,0
United States,1 to 2 years,NA,JavaScript; Ruby; SQL,NA
Ukraine,1 to 2 years,NA,C,NA
Luxembourg,1 to 2 years,NA,Assembly; C; C++; C#; CoffeeScript; Common Lisp; Clojure; Dart; Elixir; Erlang; F#; Go; Groovy; Hack; Haskell; Java; JavaScript; Julia; Lua; Matlab; Objective-C; Perl; PHP; Python; R; Ruby; Rust; Scala; Smalltalk; SQL; Swift; TypeScript; VB.NET; VBA; Visual Basic 6,NA
Russian Federation,1 to 2 years,NA,Assembly; C; C++; Java; SQL,NA
Hong Kong,1 to 2 years,NA,Java; JavaScript; Swift,NA
Iran,1 to 2 years,NA,Java,NA
Bulgaria,1 to 2 years,NA,Java; JavaScript; PHP; Python; VBA,NA
Switzerland,1 to 2 years,NA,C; C++; Java; JavaScript; PHP; SQL,NA
Fiji,1 to 2 years,NA,C++; C#; Java; Python,NA
Malaysia,1 to 2 years,NA,JavaScript; Ruby,NA
United Kingdom,1 to 2 years,NA,Hack; Java; Python,NA
Israel,1 to 2 years,NA,C; Java,NA
India,1 to 2 years,Web developer,Java; JavaScript; Python; SQL,NA
Romania,1 to 2 years,NA,JavaScript; PHP,NA
India,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,Java; JavaScript; Python,NA
Bulgaria,1 to 2 years,NA,JavaScript; Python,NA
Brazil,1 to 2 years,Web developer; Developer with a statistics or mathematics background,C#; Java; JavaScript,6369.42675159236
Philippines,1 to 2 years,NA,NA,NA
Poland,1 to 2 years,NA,C++; C#; Java; JavaScript; Matlab; SQL,NA
India,1 to 2 years,NA,NA,NA
United Kingdom,1 to 2 years,NA,NA,NA
Canada,1 to 2 years,Web developer,JavaScript,NA
Ukraine,1 to 2 years,NA,Python,NA
India,1 to 2 years,NA,C; Java; PHP; SQL,NA
Indonesia,1 to 2 years,NA,C++; Go; Java; JavaScript; PHP; Python; SQL,NA
Philippines,1 to 2 years,NA,C++; Java; Visual Basic 6,NA
India,1 to 2 years,NA,C; C++; Java; JavaScript; Perl; PHP; Python; Ruby; SQL; Swift,NA
India,1 to 2 years,NA,C,NA
Singapore,1 to 2 years,NA,C; C++; C#; Java; JavaScript; Lua; Python; VB.NET; Visual Basic 6,NA
Russian Federation,1 to 2 years,NA,C; C++; Python,NA
India,1 to 2 years,NA,PHP,NA
India,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,C; Java; SQL,NA
India,1 to 2 years,NA,NA,NA
Germany,1 to 2 years,NA,NA,NA
Russian Federation,1 to 2 years,NA,C#,NA
Bulgaria,1 to 2 years,Web developer; Desktop applications developer,Java; JavaScript,NA
Mexico,1 to 2 years,NA,C++; C#; Java; PHP,NA
China,1 to 2 years,NA,NA,NA
Ukraine,1 to 2 years,NA,NA,NA
Argentina,1 to 2 years,Web developer; Mobile developer,C#; JavaScript; PHP; SQL; VB.NET; Visual Basic 6,650
Italy,1 to 2 years,NA,Java; JavaScript; SQL,NA
India,1 to 2 years,NA,Assembly; C++; SQL; Swift,NA
Germany,1 to 2 years,NA,TypeScript,NA
United States,1 to 2 years,Web developer; Graphic designer,JavaScript,3e4
India,1 to 2 years,NA,C; C++,NA
France,1 to 2 years,NA,C++; C#; JavaScript; PHP; SQL; TypeScript,NA
Malaysia,1 to 2 years,NA,NA,NA
Turkey,1 to 2 years,NA,NA,NA
Netherlands,1 to 2 years,NA,NA,NA
China,1 to 2 years,NA,NA,NA
Spain,1 to 2 years,NA,NA,NA
United States,1 to 2 years,Web developer,NA,NA
Egypt,1 to 2 years,NA,NA,NA
Colombia,1 to 2 years,Web developer; Developer with a statistics or mathematics background,NA,NA
Netherlands,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
India,1 to 2 years,Quality assurance engineer,NA,NA
Dominican Republic,1 to 2 years,Web developer,NA,NA
France,1 to 2 years,Web developer; Mobile developer,NA,NA
United Kingdom,1 to 2 years,NA,NA,NA
Brazil,1 to 2 years,NA,NA,NA
Germany,1 to 2 years,NA,NA,NA
Italy,1 to 2 years,NA,NA,NA
Pakistan,1 to 2 years,NA,JavaScript; PHP,NA
Iran,1 to 2 years,NA,NA,NA
Kazakhstan,1 to 2 years,NA,NA,NA
Ukraine,1 to 2 years,Web developer; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist; Desktop applications developer; Database administrator; Systems administrator,NA,NA
Argentina,1 to 2 years,NA,Java; SQL,NA
Russian Federation,1 to 2 years,NA,NA,NA
Estonia,1 to 2 years,NA,NA,NA
Sweden,1 to 2 years,NA,NA,NA
Iran,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
Canada,1 to 2 years,Developer with a statistics or mathematics background,NA,NA
Indonesia,1 to 2 years,NA,NA,NA
India,1 to 2 years,Web developer; Mobile developer,NA,NA
United Kingdom,1 to 2 years,NA,NA,NA
Iran,1 to 2 years,Web developer; Mobile developer; Graphic designer,Java; JavaScript; PHP,NA
India,1 to 2 years,Mobile developer,NA,6753.78064895023
Pakistan,1 to 2 years,NA,NA,NA
United States,1 to 2 years,Web developer; Other,Java; JavaScript; Ruby,NA
United States,1 to 2 years,NA,C#; Java; JavaScript,NA
Germany,1 to 2 years,Web developer; Mobile developer; Embedded applications/devices developer; Graphics programming; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist; Graphic designer; Desktop applications developer; Database administrator; Systems administrator; DevOps specialist; Quality assurance engineer,NA,NA
Bahrain,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
United States,1 to 2 years,Web developer,NA,NA
Pakistan,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,C++; Java; JavaScript,NA
Bosnia-Herzegovina,1 to 2 years,Data scientist,NA,NA
India,1 to 2 years,NA,NA,NA
Germany,1 to 2 years,NA,NA,NA
Poland,1 to 2 years,NA,NA,NA
India,1 to 2 years,Web developer,NA,NA
Iran,1 to 2 years,NA,NA,NA
Egypt,1 to 2 years,NA,NA,NA
United Kingdom,1 to 2 years,NA,C; C++; Java; Matlab; Python; R; SQL,NA
India,1 to 2 years,NA,NA,NA
India,1 to 2 years,Web developer; Mobile developer; Database administrator,NA,NA
India,1 to 2 years,NA,NA,NA
Canada,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
Portugal,1 to 2 years,Developer with a statistics or mathematics background; Data scientist; Desktop applications developer,NA,NA
India,1 to 2 years,NA,C++; C#; Java,NA
India,1 to 2 years,Web developer; Developer with a statistics or mathematics background,NA,NA
India,1 to 2 years,Web developer,NA,NA
India,1 to 2 years,Web developer; Mobile developer,NA,NA
Canada,1 to 2 years,NA,NA,NA
United Kingdom,1 to 2 years,NA,NA,NA
Bangladesh,1 to 2 years,Web developer,NA,NA
Germany,1 to 2 years,NA,NA,NA
Brazil,1 to 2 years,NA,NA,NA
Egypt,1 to 2 years,Web developer; Mobile developer; Desktop applications developer,NA,NA
India,1 to 2 years,Mobile developer; Graphics programming; Desktop applications developer,NA,NA
India,1 to 2 years,Mobile developer; Other,NA,4771.69284980179
United Kingdom,1 to 2 years,Web developer,NA,35e3
Pakistan,1 to 2 years,NA,NA,NA
Czech Republic,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
United States,1 to 2 years,Web developer,NA,NA
India,1 to 2 years,NA,NA,NA
Brazil,1 to 2 years,NA,NA,NA
France,1 to 2 years,NA,NA,NA
India,1 to 2 years,Web developer; Mobile developer; Desktop applications developer,NA,NA
Bangladesh,1 to 2 years,NA,NA,NA
United States,1 to 2 years,Web developer,NA,NA
Nepal,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
I prefer not to say,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,C; C++; C#,NA
United States,1 to 2 years,NA,NA,NA
Australia,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
Norway,1 to 2 years,NA,NA,NA
France,1 to 2 years,Web developer; Mobile developer; Desktop applications developer,NA,NA
Netherlands,1 to 2 years,NA,NA,NA
Canada,1 to 2 years,NA,NA,NA
Bangladesh,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
Mexico,1 to 2 years,Web developer; Mobile developer; Graphics programming; Graphic designer; Database administrator,NA,54e3
France,1 to 2 years,Web developer,C#; PHP; SQL; VBA,30107.5268817204
Vietnam,1 to 2 years,NA,NA,NA
Canada,1 to 2 years,NA,Python,NA
Venezuela,1 to 2 years,NA,C; C++; Lua; Python; Ruby,NA
Ukraine,1 to 2 years,Web developer; Desktop applications developer,NA,NA
India,1 to 2 years,NA,NA,NA
Turkey,1 to 2 years,NA,NA,NA
Sweden,1 to 2 years,NA,NA,NA
Israel,1 to 2 years,NA,R,NA
Portugal,1 to 2 years,NA,C; Java,NA
Mozambique,1 to 2 years,NA,C#; JavaScript; SQL,NA
Denmark,1 to 2 years,NA,Java; JavaScript; PHP; Python; SQL,NA
New Zealand,1 to 2 years,NA,CoffeeScript; JavaScript; PHP; Ruby; SQL,NA
China,1 to 2 years,NA,JavaScript; Ruby,NA
United Kingdom,1 to 2 years,NA,Java; Python,NA
Botswana,1 to 2 years,NA,PHP,NA
Sri Lanka,1 to 2 years,NA,JavaScript; Python; TypeScript,NA
Sweden,1 to 2 years,NA,PHP; Python,NA
India,1 to 2 years,NA,C#; JavaScript; Python; SQL,NA
Indonesia,1 to 2 years,NA,C; C++; C#; Java; JavaScript; Matlab; PHP; SQL; VBA,NA
France,1 to 2 years,NA,Java; Swift,NA
India,1 to 2 years,NA,C; C#; Java; JavaScript; SQL,NA
Switzerland,1 to 2 years,NA,C#; Java; JavaScript; PHP; SQL,NA
Zimbabwe,1 to 2 years,Web developer; Mobile developer; Embedded applications/devices developer; Graphic designer; Desktop applications developer,C++; C#; JavaScript; SQL; VB.NET,NA
India,1 to 2 years,NA,C,NA
Canada,1 to 2 years,Web developer,PHP,NA
United States,1 to 2 years,NA,NA,NA
Russian Federation,1 to 2 years,NA,C++,NA
Philippines,1 to 2 years,Web developer,JavaScript,NA
France,1 to 2 years,NA,C++,NA
Canada,1 to 2 years,NA,Java; JavaScript; Lua; Python,NA
India,1 to 2 years,NA,PHP,NA
India,1 to 2 years,Web developer; Desktop applications developer; Database administrator,NA,NA
Spain,1 to 2 years,NA,NA,NA
Russian Federation,1 to 2 years,NA,NA,NA
France,1 to 2 years,NA,NA,NA
United States,1 to 2 years,Web developer; Mobile developer,NA,67500
Hong Kong,1 to 2 years,NA,Swift,NA
India,1 to 2 years,NA,C; C++; Java; Matlab,NA
Netherlands,1 to 2 years,NA,JavaScript,NA
Iran,1 to 2 years,Web developer,Java,NA
Australia,1 to 2 years,NA,JavaScript,NA
United States,1 to 2 years,Desktop applications developer,C; C++; C#; Java; Objective-C; PHP; Python; SQL; Swift; VB.NET,7e4
South Africa,1 to 2 years,NA,C; Python,NA
Netherlands,1 to 2 years,NA,C#; Java; JavaScript; PHP; Python; SQL,NA
United Kingdom,1 to 2 years,Mobile developer; Desktop applications developer,C#; JavaScript; Objective-C; Python; Swift,NA
Canada,1 to 2 years,NA,C#; Java; JavaScript; PHP; SQL,NA
Venezuela,1 to 2 years,NA,JavaScript,NA
