Country,YearsProgram,DeveloperType,HaveWorkedLanguage,Salary
Pakistan,NA,Web developer; Mobile developer; Embedded applications/devices developer; Graphics programming; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist; Graphic designer; Desktop applications developer; Database administrator; Systems administrator; DevOps specialist; Quality assurance engineer,NA,NA
Aland Islands,NA,NA,NA,NA
Finland,NA,Web developer,NA,NA
Germany,NA,Web developer,NA,NA
India,NA,Web developer,NA,NA
Algeria,NA,Desktop applications developer,NA,NA
Aland Islands,NA,Mobile developer,NA,NA
Indonesia,NA,Developer with a statistics or mathematics background,NA,NA
Canada,NA,Web developer,NA,NA
Saudi Arabia,NA,NA,NA,NA
Malaysia,NA,Web developer,NA,NA
Italy,NA,Web developer,NA,NA
Mexico,NA,NA,NA,NA
India,NA,Web developer; Database administrator,NA,NA
Germany,NA,NA,NA,NA
United States,NA,Machine learning specialist; Developer with a statistics or mathematics background; Data scientist,NA,NA
Turkey,NA,NA,NA,NA
Malaysia,NA,NA,NA,NA
Russian Federation,NA,NA,NA,NA
India,NA,Web developer,NA,NA
India,NA,NA,NA,NA
Iran,NA,NA,NA,NA
United States,NA,Web developer,NA,NA
France,NA,Embedded applications/devices developer,NA,NA
Germany,NA,Graphics programming,NA,NA
Germany,NA,Data scientist,NA,NA
United States,NA,Systems administrator; DevOps specialist,NA,NA
United Kingdom,NA,Developer with a statistics or mathematics background,NA,NA
Algeria,NA,Systems administrator,NA,NA
France,NA,Mobile developer,NA,NA
United States,NA,NA,NA,NA
United States,NA,NA,NA,NA
United States,NA,NA,NA,NA
Poland,NA,NA,NA,NA
Brazil,NA,Web developer; Mobile developer; Developer with a statistics or mathematics background; Data scientist; Database administrator,NA,NA
Aland Islands,NA,Web developer,NA,NA
Vietnam,NA,Graphics programming,NA,NA
Egypt,NA,Data scientist,C; C++; C#; CoffeeScript; Clojure; Objective-C; Visual Basic 6,NA
United States,NA,NA,NA,NA
United Kingdom,NA,Web developer,NA,NA
Germany,NA,Desktop applications developer,NA,NA
Iran,NA,NA,NA,NA
India,NA,Web developer; Mobile developer,NA,NA
Poland,NA,NA,NA,NA
Bangladesh,NA,Developer with a statistics or mathematics background,NA,NA
United States,NA,NA,NA,NA
Switzerland,NA,Web developer; Mobile developer; Embedded applications/devices developer; Graphics programming; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist; Graphic designer; Desktop applications developer; Database administrator; Systems administrator; DevOps specialist; Quality assurance engineer,NA,NA
India,NA,Web developer,NA,NA
United States,NA,Web developer,NA,NA
United States,NA,Mobile developer; Developer with a statistics or mathematics background; Data scientist,NA,NA
Germany,NA,Developer with a statistics or mathematics background,NA,NA
Hong Kong,NA,NA,NA,NA
I prefer not to say,NA,Web developer; Systems administrator; DevOps specialist,NA,NA
Australia,NA,NA,NA,NA
India,NA,Web developer,NA,NA
India,NA,NA,NA,NA
United States,NA,Mobile developer; Embedded applications/devices developer; Graphics programming; Machine learning specialist; DevOps specialist,NA,NA
India,NA,Web developer,NA,NA
Iran,NA,NA,NA,NA
Spain,NA,Web developer,NA,NA
United States,NA,Developer with a statistics or mathematics background,NA,NA
Germany,NA,Web developer; Mobile developer; Developer with a statistics or mathematics background; Data scientist; Desktop applications developer; DevOps specialist,Assembly; C; C++; C#; Java; JavaScript; PHP; Python,NA
I prefer not to say,NA,NA,NA,NA
Netherlands,NA,NA,NA,NA
United States,NA,Web developer,NA,NA
Afghanistan,NA,NA,NA,NA
Brazil,NA,Web developer; Mobile developer; Desktop applications developer,NA,NA
Armenia,NA,NA,NA,NA
Austria,NA,Web developer,NA,NA
India,NA,Web developer,NA,NA
United States,NA,Other,NA,NA
Sri Lanka,NA,Web developer,NA,NA
I prefer not to say,NA,NA,NA,NA
India,NA,Web developer,NA,NA
Ethiopia,NA,NA,NA,NA
United States,NA,NA,NA,NA
Germany,NA,NA,NA,NA
India,NA,NA,NA,NA
France,NA,NA,NA,NA
United States,NA,Web developer,NA,NA
India,NA,Web developer,NA,NA
United States,NA,NA,NA,NA
United States,NA,NA,NA,NA
Germany,NA,NA,NA,NA
Russian Federation,NA,Web developer,NA,NA
India,NA,NA,NA,NA
United States,NA,Web developer; Mobile developer; Desktop applications developer,NA,NA
India,NA,Web developer,NA,NA
Germany,NA,NA,NA,NA
Taiwan,NA,Web developer,NA,NA
Singapore,NA,Web developer; Mobile developer,NA,NA
India,NA,NA,NA,NA
Russian Federation,NA,NA,NA,NA
India,NA,Mobile developer,NA,NA
Angola,NA,NA,NA,NA
United States,NA,Web developer,NA,NA
India,NA,Web developer,NA,NA
India,NA,Web developer,NA,NA
Egypt,NA,Web developer,NA,NA
India,NA,Other,NA,NA
Germany,NA,NA,NA,NA
Netherlands,NA,NA,NA,NA
United States,NA,Mobile developer; Desktop applications developer,NA,NA
Canada,NA,NA,NA,NA
Lebanon,NA,NA,NA,NA
United States,NA,Web developer,NA,NA
United States,NA,NA,NA,NA
United States,NA,Data scientist,NA,NA
India,NA,NA,NA,NA
United States,NA,NA,NA,NA
United States,NA,Web developer,NA,NA
Angola,NA,NA,NA,NA
Japan,NA,NA,NA,NA
Germany,NA,NA,NA,NA
United States,NA,NA,NA,NA
United States,NA,NA,NA,NA
India,NA,Web developer,NA,NA
Czech Republic,NA,NA,NA,NA
India,NA,NA,NA,NA
United Kingdom,NA,NA,C; C++,NA
Monaco,NA,NA,Assembly,NA
Austria,NA,NA,NA,NA
India,NA,Web developer,Java; Scala,NA
China,NA,Desktop applications developer; Other,NA,NA
Japan,NA,Web developer; Machine learning specialist; Data scientist,C; C++; C#; Common Lisp; JavaScript; Matlab; Python; R; SQL; VB.NET,NA
India,NA,Web developer; Systems administrator; Other,NA,2642.78373219792
India,NA,NA,PHP,NA
United States,NA,NA,NA,NA
United States,NA,Web developer,C#,NA
United States,NA,NA,Java; JavaScript; Python,NA
Italy,NA,Web developer; Systems administrator,PHP; SQL,NA
India,NA,Web developer; Database administrator,JavaScript; PHP; SQL,NA
Bulgaria,NA,Other,NA,NA
Christmas Island,NA,Other,NA,NA
United Kingdom,NA,NA,JavaScript; PHP; Python,NA
United States,NA,Mobile developer,Java; Objective-C,NA
Hong Kong,NA,NA,NA,NA
I prefer not to say,NA,NA,NA,NA
India,NA,Desktop applications developer,NA,NA
United States,NA,Web developer; Mobile developer,NA,NA
Tunisia,NA,Web developer; Mobile developer; Embedded applications/devices developer; Graphics programming; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist; Graphic designer; Desktop applications developer; Database administrator; Systems administrator; DevOps specialist,NA,NA
United States,NA,NA,NA,NA
India,NA,Web developer; Desktop applications developer,NA,NA
Germany,NA,Web developer; Desktop applications developer; Database administrator,NA,NA
Malaysia,NA,Web developer; Mobile developer; Systems administrator,NA,NA
I prefer not to say,NA,NA,JavaScript; Python,NA
India,NA,Web developer,JavaScript; PHP,NA
Germany,NA,Web developer; Database administrator; Systems administrator; DevOps specialist,NA,NA
Russian Federation,NA,NA,NA,NA
Ukraine,NA,Web developer,JavaScript,44400
Germany,NA,Other,C; C++; Java,59139.7849462366
United Kingdom,NA,NA,NA,NA
New Zealand,NA,Embedded applications/devices developer,C; C++; Python,NA
United Kingdom,NA,NA,Python,NA
United States,NA,Web developer,C++; C#,NA
United States,NA,DevOps specialist,Go; Groovy; Java; Python; Ruby; SQL,NA
Germany,NA,Embedded applications/devices developer,C++; Python; SQL; Swift,NA
Hungary,NA,Web developer,Assembly; Groovy; Java; JavaScript; Python; Smalltalk,NA
United States,NA,Web developer,Java; JavaScript; Python; SQL,NA
India,NA,Web developer; Mobile developer,C#; Java; JavaScript; Objective-C,NA
France,NA,Data scientist,C#; Ruby; SQL; VBA,NA
Ukraine,NA,Mobile developer; Desktop applications developer,NA,NA
Russian Federation,NA,Web developer,NA,NA
United Kingdom,NA,Web developer,NA,NA
I prefer not to say,NA,NA,C; C++; JavaScript; PHP,NA
I prefer not to say,NA,NA,NA,NA
United States,NA,Desktop applications developer,C++,NA
India,NA,Web developer; Mobile developer,NA,NA
Italy,NA,NA,JavaScript; SQL,NA
Philippines,NA,NA,NA,NA
India,NA,Web developer; Mobile developer,NA,NA
Canada,NA,NA,NA,NA
United States,NA,Web developer; Embedded applications/devices developer; Developer with a statistics or mathematics background; Data scientist; Desktop applications developer; Database administrator; DevOps specialist,NA,NA
India,NA,Web developer,NA,NA
India,NA,Web developer; Mobile developer,Java,NA
United States,NA,NA,Python,NA
United States,NA,Data scientist; Systems administrator,PHP; SQL,NA
United States,NA,NA,JavaScript; VB.NET; Visual Basic 6,NA
India,NA,Web developer; Developer with a statistics or mathematics background,Java; JavaScript; SQL; TypeScript,NA
United Kingdom,NA,Web developer; Desktop applications developer,NA,NA
India,NA,NA,Python; R,NA
Saudi Arabia,NA,NA,NA,NA
Canada,NA,Web developer,C#; JavaScript; SQL,49242.4242424242
Sweden,NA,Web developer,JavaScript; PHP; Python; SQL,50904.9773755656
Ukraine,NA,Web developer,NA,NA
Russian Federation,NA,NA,NA,NA
Italy,NA,Graphics programming; Desktop applications developer; Database administrator; Systems administrator,NA,NA
United Kingdom,NA,NA,JavaScript; PHP; SQL,NA
United States,NA,Web developer; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist; Desktop applications developer,C; C++; JavaScript; Julia; Python,NA
United States,NA,Web developer; Desktop applications developer; Systems administrator,Java; JavaScript; Python; SQL,66e3
Italy,NA,Web developer,JavaScript; PHP; Python; SQL,NA
India,NA,NA,NA,NA
France,NA,DevOps specialist,C; Perl,NA
France,NA,Web developer,C#; Java; JavaScript; PHP; SQL,NA
Armenia,NA,Developer with a statistics or mathematics background,Objective-C,3e3
South Korea,NA,Developer with a statistics or mathematics background; Desktop applications developer; DevOps specialist,NA,NA
Israel,NA,Desktop applications developer,Java; JavaScript,48517.5202156334
India,NA,Mobile developer,Java,NA
India,NA,Web developer,C; C++; Java; PHP; Python,NA
United Kingdom,NA,Web developer,Java; JavaScript; Python; TypeScript,78750
Germany,NA,Developer with a statistics or mathematics background; Data scientist; Systems administrator,C; C++; Java; Matlab; Python,NA
Poland,NA,Web developer; Desktop applications developer,Java; JavaScript,NA
Vietnam,NA,Web developer,NA,NA
Aland Islands,NA,Web developer; Mobile developer; Embedded applications/devices developer; Graphics programming; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist; Graphic designer; Desktop applications developer; Database administrator; Systems administrator; DevOps specialist; Quality assurance engineer,Assembly; C; C++; C#; CoffeeScript; Common Lisp; Clojure; Dart; Elixir; Erlang; F#; Go; Groovy; Hack; Haskell; Java; JavaScript; Julia; Lua; Matlab; Objective-C; Perl; PHP; Python; R; Ruby; Rust; Scala; Smalltalk; SQL; Swift; TypeScript; VB.NET; VBA; Visual Basic 6,NA
Lithuania,1 to 2 years,NA,NA,NA
Russian Federation,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
Canada,1 to 2 years,Web developer; Developer with a statistics or mathematics background; Desktop applications developer,C#; JavaScript; Python; SQL; TypeScript; VB.NET; VBA,NA
Albania,1 to 2 years,NA,NA,NA
India,1 to 2 years,Web developer; Graphic designer,NA,NA
Colombia,1 to 2 years,Web developer; Mobile developer; Embedded applications/devices developer; Graphics programming; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist; Desktop applications developer,NA,NA
Brazil,1 to 2 years,NA,NA,NA
Germany,1 to 2 years,NA,NA,NA
United Kingdom,1 to 2 years,NA,NA,NA
Australia,1 to 2 years,NA,NA,NA
Greece,1 to 2 years,NA,C++; PHP; Python; Ruby; SQL,NA
India,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
Indonesia,1 to 2 years,Web developer; Machine learning specialist; Data scientist,NA,NA
Romania,1 to 2 years,Web developer,NA,NA
Australia,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
Ukraine,1 to 2 years,NA,NA,NA
India,1 to 2 years,Web developer,NA,NA
United Kingdom,1 to 2 years,NA,NA,NA
Bangladesh,1 to 2 years,Web developer; Developer with a statistics or mathematics background; Database administrator,JavaScript; PHP,NA
Germany,1 to 2 years,NA,NA,NA
India,1 to 2 years,Web developer,NA,NA
India,1 to 2 years,NA,NA,NA
Germany,1 to 2 years,NA,NA,NA
Philippines,1 to 2 years,Web developer; Systems administrator,NA,NA
United States,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
Pakistan,1 to 2 years,Mobile developer,NA,1e3
China,1 to 2 years,NA,NA,NA
Thailand,1 to 2 years,NA,NA,NA
India,1 to 2 years,Quality assurance engineer,NA,NA
Colombia,1 to 2 years,Data scientist; Desktop applications developer; Database administrator; Other,NA,NA
Portugal,1 to 2 years,Systems administrator; DevOps specialist,NA,NA
United States,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
Turkey,1 to 2 years,Data scientist; Other,NA,NA
Germany,1 to 2 years,Embedded applications/devices developer,NA,NA
Croatia,1 to 2 years,NA,NA,NA
Canada,1 to 2 years,NA,NA,NA
India,1 to 2 years,Web developer,NA,NA
United States,1 to 2 years,Web developer,NA,4e4
Germany,1 to 2 years,NA,NA,NA
Indonesia,1 to 2 years,NA,NA,NA
Germany,1 to 2 years,Desktop applications developer,NA,NA
Turkey,1 to 2 years,NA,NA,NA
Indonesia,1 to 2 years,NA,NA,NA
Belarus,1 to 2 years,NA,NA,NA
France,1 to 2 years,Web developer; Embedded applications/devices developer; Graphics programming; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist; Quality assurance engineer,NA,NA
Germany,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
Afghanistan,1 to 2 years,Data scientist,NA,NA
Spain,1 to 2 years,Other,NA,NA
India,1 to 2 years,Developer with a statistics or mathematics background,NA,NA
Germany,1 to 2 years,Developer with a statistics or mathematics background; Desktop applications developer; Database administrator,NA,NA
Ireland,1 to 2 years,Web developer; Database administrator; Systems administrator,NA,NA
India,1 to 2 years,Web developer,NA,NA
United States,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
Spain,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
Antarctica,1 to 2 years,NA,NA,NA
Romania,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
India,1 to 2 years,Mobile developer,NA,NA
Switzerland,1 to 2 years,NA,NA,NA
India,1 to 2 years,Web developer,NA,NA
India,1 to 2 years,Mobile developer,NA,NA
I prefer not to say,1 to 2 years,NA,NA,NA
France,1 to 2 years,Desktop applications developer,NA,NA
United Kingdom,1 to 2 years,Web developer,NA,NA
Nepal,1 to 2 years,NA,NA,NA
United Kingdom,1 to 2 years,Web developer,NA,NA
United States,1 to 2 years,NA,NA,NA
Angola,1 to 2 years,NA,NA,NA
Brazil,1 to 2 years,Web developer; Mobile developer,NA,NA
Poland,1 to 2 years,NA,NA,NA
Costa Rica,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
United Kingdom,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
Kenya,1 to 2 years,NA,NA,NA
Niger,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
Germany,1 to 2 years,Web developer; Graphics programming,NA,NA
Estonia,1 to 2 years,NA,NA,NA
Canada,1 to 2 years,NA,NA,NA
India,1 to 2 years,Web developer,NA,NA
Brazil,1 to 2 years,NA,NA,NA
India,1 to 2 years,Mobile developer,NA,NA
Azerbaidjan,1 to 2 years,NA,NA,NA
Slovak Republic,1 to 2 years,NA,NA,NA
India,1 to 2 years,Web developer,NA,NA
India,1 to 2 years,Web developer; Systems administrator,NA,NA
Philippines,1 to 2 years,NA,NA,NA
Netherlands,1 to 2 years,NA,NA,NA
Greece,1 to 2 years,NA,C; Python,NA
United States,1 to 2 years,NA,NA,NA
Albania,1 to 2 years,Data scientist,NA,NA
India,1 to 2 years,NA,NA,NA
Kenya,1 to 2 years,NA,NA,NA
India,1 to 2 years,Mobile developer,NA,NA
Turkey,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
Czech Republic,1 to 2 years,NA,NA,NA
Bulgaria,1 to 2 years,Mobile developer,NA,NA
India,1 to 2 years,Web developer,NA,NA
France,1 to 2 years,NA,NA,NA
France,1 to 2 years,NA,NA,NA
India,1 to 2 years,Web developer; Desktop applications developer,NA,NA
France,1 to 2 years,NA,NA,NA
United Kingdom,1 to 2 years,Web developer,NA,NA
Sweden,1 to 2 years,NA,NA,NA
Poland,1 to 2 years,Web developer,NA,NA
United Kingdom,1 to 2 years,NA,NA,NA
Poland,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
Canada,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
I prefer not to say,1 to 2 years,NA,NA,NA
Japan,1 to 2 years,Web developer; Mobile developer; Embedded applications/devices developer; Graphics programming; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist; Graphic designer; Desktop applications developer; Database administrator; Systems administrator; DevOps specialist; Quality assurance engineer,NA,NA
India,1 to 2 years,NA,NA,NA
Libya,1 to 2 years,NA,NA,NA
Puerto Rico,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
United Kingdom,1 to 2 years,NA,NA,NA
Netherlands,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
Nigeria,1 to 2 years,Web developer; Mobile developer,NA,NA
Netherlands,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
Brazil,1 to 2 years,Web developer,NA,NA
New Zealand,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
Ukraine,1 to 2 years,NA,NA,NA
Cook Islands,1 to 2 years,NA,NA,NA
Pakistan,1 to 2 years,NA,NA,NA
Spain,1 to 2 years,Web developer,NA,NA
Denmark,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
Honduras,1 to 2 years,Web developer; Mobile developer; Graphics programming; Graphic designer; Database administrator; Systems administrator; Quality assurance engineer,NA,NA
India,1 to 2 years,NA,NA,NA
Singapore,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
India,1 to 2 years,Web developer,NA,NA
Afghanistan,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
Iceland,1 to 2 years,NA,NA,NA
Nigeria,1 to 2 years,NA,NA,NA
North Korea,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
Russian Federation,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
Bulgaria,1 to 2 years,Desktop applications developer,NA,NA
Finland,1 to 2 years,NA,NA,NA
Indonesia,1 to 2 years,NA,NA,NA
United Kingdom,1 to 2 years,Web developer,NA,NA
Egypt,1 to 2 years,NA,NA,NA
Philippines,1 to 2 years,NA,NA,NA
Spain,1 to 2 years,Web developer,NA,NA
Hungary,1 to 2 years,Web developer; Desktop applications developer,C#; JavaScript; SQL,20623.5176846664
India,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
India,1 to 2 years,Web developer,NA,NA
India,1 to 2 years,NA,NA,NA
Afghanistan,1 to 2 years,Data scientist,NA,NA
Malawi,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
Netherlands,1 to 2 years,Web developer; Embedded applications/devices developer; Systems administrator,C; C++; JavaScript; Python; SQL,NA
India,1 to 2 years,NA,NA,NA
Finland,1 to 2 years,NA,NA,NA
United Kingdom,1 to 2 years,NA,NA,NA
Venezuela,1 to 2 years,Web developer,NA,NA
United States,1 to 2 years,NA,NA,NA
Israel,1 to 2 years,NA,NA,NA
Canada,1 to 2 years,Web developer,NA,NA
Poland,1 to 2 years,NA,NA,NA
India,1 to 2 years,Web developer,NA,NA
Japan,1 to 2 years,NA,NA,NA
France,1 to 2 years,NA,C; C++,NA
Brazil,1 to 2 years,NA,NA,NA
India,1 to 2 years,Web developer; Other,C#,3523.71164293055
India,1 to 2 years,Embedded applications/devices developer,NA,NA
United States,1 to 2 years,NA,NA,NA
Pakistan,1 to 2 years,Mobile developer,NA,NA
United States,1 to 2 years,Web developer; Data scientist; Desktop applications developer,NA,NA
India,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
South Africa,1 to 2 years,Developer with a statistics or mathematics background,NA,NA
United States,1 to 2 years,NA,NA,NA
Pakistan,1 to 2 years,NA,NA,NA
Germany,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,Java,NA
France,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
India,1 to 2 years,Machine learning specialist; Data scientist,NA,NA
Finland,1 to 2 years,NA,NA,NA
United States,1 to 2 years,Web developer; Systems administrator,NA,NA
India,1 to 2 years,Web developer,NA,NA
Vietnam,1 to 2 years,NA,NA,NA
Germany,1 to 2 years,NA,NA,NA
Italy,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
France,1 to 2 years,NA,NA,NA
Japan,1 to 2 years,NA,NA,NA
India,1 to 2 years,Data scientist,NA,NA
Albania,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
Bulgaria,1 to 2 years,NA,NA,NA
India,1 to 2 years,Developer with a statistics or mathematics background,NA,NA
Pakistan,1 to 2 years,Web developer,NA,NA
Germany,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
Germany,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
Vietnam,1 to 2 years,NA,NA,NA
Germany,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
United Kingdom,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
Canada,1 to 2 years,NA,NA,NA
Afghanistan,1 to 2 years,Data scientist,NA,NA
Iran,1 to 2 years,Machine learning specialist,NA,NA
Pakistan,1 to 2 years,NA,NA,NA
Vietnam,1 to 2 years,Web developer,NA,NA
India,1 to 2 years,NA,NA,NA
United Kingdom,1 to 2 years,NA,NA,NA
Georgia,1 to 2 years,NA,NA,NA
United Kingdom,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
United Kingdom,1 to 2 years,NA,NA,NA
Philippines,1 to 2 years,NA,NA,NA
France,1 to 2 years,NA,NA,NA
Canada,1 to 2 years,NA,NA,NA
Pakistan,1 to 2 years,NA,NA,NA
Hungary,1 to 2 years,Web developer; Desktop applications developer; Database administrator,NA,NA
India,1 to 2 years,Web developer,NA,NA
Switzerland,1 to 2 years,NA,NA,NA
France,1 to 2 years,NA,NA,NA
India,1 to 2 years,Web developer,NA,NA
United States,1 to 2 years,NA,NA,NA
Syria,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
South Korea,1 to 2 years,NA,NA,NA
United Kingdom,1 to 2 years,Data scientist,NA,NA
United Kingdom,1 to 2 years,NA,NA,NA
Ukraine,1 to 2 years,Web developer,NA,NA
India,1 to 2 years,Mobile developer; DevOps specialist,NA,NA
United States,1 to 2 years,NA,NA,NA
Denmark,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
Brazil,1 to 2 years,Desktop applications developer,NA,NA
United Kingdom,1 to 2 years,NA,NA,NA
Sweden,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
India,1 to 2 years,Web developer,NA,NA
India,1 to 2 years,Web developer,NA,NA
Austria,1 to 2 years,NA,NA,NA
India,1 to 2 years,Web developer; Developer with a statistics or mathematics background,NA,NA
Hungary,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
United States,1 to 2 years,Database administrator,NA,NA
Mexico,1 to 2 years,NA,NA,NA
India,1 to 2 years,Web developer; Desktop applications developer,NA,NA
Canada,1 to 2 years,NA,NA,NA
Philippines,1 to 2 years,Web developer; Desktop applications developer,NA,NA
United States,1 to 2 years,NA,NA,NA
India,1 to 2 years,Web developer,NA,NA
India,1 to 2 years,Web developer,NA,NA
Norway,1 to 2 years,NA,NA,NA
India,1 to 2 years,Mobile developer,NA,NA
United States,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
United States,1 to 2 years,NA,NA,NA
United Kingdom,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
India,1 to 2 years,Web developer,NA,NA
India,1 to 2 years,Mobile developer,NA,NA
France,1 to 2 years,NA,NA,NA
India,1 to 2 years,Web developer,C++; JavaScript,NA
United States,1 to 2 years,NA,NA,NA
Egypt,1 to 2 years,NA,NA,NA
United States,1 to 2 years,Web developer; Embedded applications/devices developer; Data scientist,Ruby; SQL,66e3
Romania,1 to 2 years,NA,NA,NA
Hungary,1 to 2 years,NA,NA,NA
France,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
Iran,1 to 2 years,NA,NA,NA
Vietnam,1 to 2 years,Web developer; Mobile developer; Desktop applications developer,NA,NA
India,1 to 2 years,NA,NA,NA
Portugal,1 to 2 years,NA,NA,NA
India,1 to 2 years,NA,NA,NA
United States,1 to 2 years,Web developer,NA,41600
India,1 to 2 years,NA,NA,NA
India,1 to 2 years,Web developer,JavaScript; PHP,NA
I prefer not to say,1 to 2 years,Web developer; Desktop applications developer; Database administrator; Systems administrator,C#; JavaScript; SQL; VB.NET,NA
Haiti,1 to 2 years,NA,NA,NA
Canada,1 to 2 years,Web developer,NA,NA
United States,1 to 2 years,NA,NA,NA
