Country,YearsProgram,DeveloperType,HaveWorkedLanguage,Salary
Canada,20 or more years,Web developer; Desktop applications developer; Database administrator; Systems administrator,Java; SQL,NA
Canada,5 to 6 years,Embedded applications/devices developer; Developer with a statistics or mathematics background; Data scientist,C++; C#; JavaScript; Lua,36363.6363636364
United Kingdom,12 to 13 years,Web developer; Desktop applications developer,C#; F#; Go; Python; R; SQL,NA
Swaziland,6 to 7 years,NA,C; C++; C#; Haskell; Java; JavaScript; Matlab; Perl; PHP; Python; Ruby; Scala; SQL; Swift; TypeScript,NA
United States,5 to 6 years,Desktop applications developer,C#; Java,8e4
Russian Federation,14 to 15 years,NA,Java; JavaScript,NA
United States,16 to 17 years,Web developer; Desktop applications developer; Other,C#; JavaScript; SQL,NA
United Kingdom,20 or more years,Mobile developer; Desktop applications developer; Database administrator,SQL,NA
United States,18 to 19 years,Web developer; Mobile developer,Java; JavaScript,66114
United States,20 or more years,Machine learning specialist; Data scientist; Other,Assembly; C; C++; Java; Matlab; Objective-C; Python; Swift,15e4
United States,4 to 5 years,Data scientist; Desktop applications developer,C++; Java; Python; R,4e4
United States,8 to 9 years,Web developer; Machine learning specialist; Developer with a statistics or mathematics background,Groovy; Java; JavaScript; Python; SQL; TypeScript,132e3
Germany,20 or more years,Embedded applications/devices developer; Desktop applications developer,C; C++; C#; Go; Python; Smalltalk; SQL; Visual Basic 6,NA
Brazil,16 to 17 years,Web developer; Desktop applications developer,Java; JavaScript,NA
Sweden,6 to 7 years,Web developer; Data scientist; Systems administrator,C; C#; Java; JavaScript,NA
Ireland,5 to 6 years,Web developer,C#; Java; JavaScript; Lua; PHP; Python; Ruby; SQL; TypeScript,53763.4408602151
United Kingdom,17 to 18 years,Embedded applications/devices developer; Desktop applications developer,C#; SQL; VBA; Visual Basic 6,NA
Germany,9 to 10 years,NA,C++; C#; Java; JavaScript; Objective-C; PHP; Python; SQL; VBA,NA
United States,20 or more years,Graphics programming; Desktop applications developer,C++,15e4
Germany,5 to 6 years,Web developer; Mobile developer; Desktop applications developer; Database administrator,Java; R; SQL,NA
Canada,11 to 12 years,NA,C#; JavaScript; SQL; VB.NET,NA
France,13 to 14 years,Web developer; Mobile developer; Other,CoffeeScript; Dart; Hack; Java; JavaScript; PHP; Python; SQL; TypeScript,66666.6666666667
Mexico,9 to 10 years,NA,Python,NA
Sweden,19 to 20 years,NA,Haskell,NA
United States,1 to 2 years,NA,JavaScript,NA
Canada,8 to 9 years,NA,Haskell; JavaScript; PHP; R; SQL,NA
United States,9 to 10 years,Web developer,Java; JavaScript,8e4
United Kingdom,9 to 10 years,Developer with a statistics or mathematics background; Desktop applications developer,C#; SQL; Visual Basic 6,NA
Canada,19 to 20 years,Web developer; Desktop applications developer,Groovy; Java,61818.1818181818
Hungary,7 to 8 years,NA,Java,NA
Sweden,12 to 13 years,Web developer,JavaScript; Python,53763.4408602151
Sri Lanka,4 to 5 years,Desktop applications developer,C#; JavaScript; VB.NET,NA
United States,4 to 5 years,Web developer,C++; C#; JavaScript; PHP; Python; SQL,NA
Germany,15 to 16 years,NA,Groovy; Java; JavaScript; Python; TypeScript,NA
Australia,20 or more years,Web developer; Data scientist; Desktop applications developer; DevOps specialist,C#; JavaScript; SQL,NA
United States,4 to 5 years,Web developer; Mobile developer; Graphic designer; Desktop applications developer,C#; JavaScript; TypeScript,NA
Bosnia-Herzegovina,7 to 8 years,Web developer; Mobile developer; Graphic designer,JavaScript; PHP; TypeScript,NA
Malta,7 to 8 years,Web developer; Desktop applications developer,C#; JavaScript; TypeScript,NA
United States,20 or more years,Embedded applications/devices developer,C; Python,NA
Mexico,5 to 6 years,Web developer; Mobile developer,C#; JavaScript; SQL,NA
Romania,15 to 16 years,NA,JavaScript,NA
Romania,20 or more years,Other,C; C++; JavaScript; Perl,NA
United States,6 to 7 years,Web developer,Go; JavaScript; Python; SQL,68e3
United States,6 to 7 years,Web developer; Mobile developer,Go; Objective-C; Swift,12e4
Sri Lanka,14 to 15 years,Web developer,Java; JavaScript,NA
United States,13 to 14 years,Web developer,JavaScript; Python; SQL,38800
France,10 to 11 years,Web developer,JavaScript; PHP; SQL,32258.064516129
United States,3 to 4 years,NA,Java,NA
United States,2 to 3 years,NA,Ruby,NA
United States,18 to 19 years,Web developer,JavaScript; PHP; SQL,NA
Poland,3 to 4 years,Other,C#; Java; SQL; VB.NET,1481.48148148148
New Zealand,20 or more years,Desktop applications developer,C#; JavaScript; Python; SQL; VB.NET,NA
Germany,1 to 2 years,Web developer; Mobile developer; Desktop applications developer,Java; JavaScript; Python,43010.752688172
Costa Rica,5 to 6 years,NA,NA,NA
United States,11 to 12 years,Embedded applications/devices developer,C; Python,NA
Switzerland,20 or more years,Embedded applications/devices developer,C; C++; Go; Lua; Python,95e3
Malaysia,2 to 3 years,Web developer; Mobile developer; Desktop applications developer,C#; Java; JavaScript; SQL; VB.NET,7623.31838565022
United Kingdom,5 to 6 years,Web developer; Systems administrator,JavaScript,NA
Italy,20 or more years,Web developer; Mobile developer; Embedded applications/devices developer; Desktop applications developer,C#; JavaScript; Objective-C; SQL; VB.NET,NA
United States,20 or more years,Web developer,JavaScript; SQL,NA
United Kingdom,10 to 11 years,Web developer,JavaScript; PHP,4e4
Belgium,6 to 7 years,Web developer; Other,JavaScript,38709.6774193548
United States,16 to 17 years,Data scientist; Desktop applications developer; Database administrator; Other,C; C#; JavaScript; Objective-C; PHP; Python; SQL; VB.NET; VBA; Visual Basic 6,7e4
France,11 to 12 years,NA,Python,NA
Israel,2 to 3 years,Mobile developer,C++; Java; SQL,48e3
Romania,2 to 3 years,Web developer; Mobile developer; Desktop applications developer,C++; C#; JavaScript; SQL,NA
United Kingdom,7 to 8 years,Desktop applications developer,C#; Python; SQL,33750
Poland,4 to 5 years,Web developer,C#; JavaScript,23703.7037037037
India,8 to 9 years,Web developer,C; Java; JavaScript,22023.197768316
United Kingdom,20 or more years,Desktop applications developer,C#; SQL,34262.5
Italy,15 to 16 years,Web developer; Quality assurance engineer,Java,NA
United States,6 to 7 years,NA,C; JavaScript; Python; Ruby,NA
United States,20 or more years,Web developer; Developer with a statistics or mathematics background; Quality assurance engineer,Java,51e3
Germany,2 to 3 years,NA,PHP; SQL,NA
Canada,18 to 19 years,Mobile developer; Desktop applications developer; DevOps specialist,C#; CoffeeScript; JavaScript; Ruby; SQL,60606.0606060606
United States,10 to 11 years,Web developer,JavaScript; Perl,NA
United States,14 to 15 years,Web developer,C#; JavaScript,9e4
Germany,3 to 4 years,NA,Assembly; C; C++; Java,NA
United States,3 to 4 years,Mobile developer; Embedded applications/devices developer; Desktop applications developer,C; C++; Java; JavaScript; Python,68040
United States,3 to 4 years,Mobile developer,Python; Swift,NA
Hungary,13 to 14 years,Embedded applications/devices developer; Desktop applications developer,Java; JavaScript; PHP; SQL; TypeScript,NA
Morocco,6 to 7 years,Web developer; Desktop applications developer,CoffeeScript; Elixir; JavaScript; PHP; Ruby; SQL,NA
United Kingdom,11 to 12 years,Web developer,JavaScript,43750
Switzerland,3 to 4 years,NA,C; C++,NA
United Kingdom,11 to 12 years,Developer with a statistics or mathematics background,Java; JavaScript,NA
United States,9 to 10 years,Web developer,JavaScript; PHP,85e3
Norway,5 to 6 years,Web developer,C#; Java; JavaScript; Python,NA
Indonesia,8 to 9 years,NA,C#; Java; JavaScript; PHP; SQL,NA
United Kingdom,10 to 11 years,Other,C#; Java; JavaScript; PHP; SQL; Swift; TypeScript,NA
Germany,16 to 17 years,Web developer; Desktop applications developer; DevOps specialist,C; C#; JavaScript; PHP; SQL,62365.5913978495
Croatia,1 to 2 years,NA,JavaScript,NA
Croatia,20 or more years,Mobile developer; Embedded applications/devices developer,NA,NA
Malta,12 to 13 years,Machine learning specialist; Developer with a statistics or mathematics background; Data scientist; Database administrator; Systems administrator; DevOps specialist,NA,NA
Switzerland,5 to 6 years,Web developer,NA,NA
Sweden,8 to 9 years,NA,C; SQL,NA
Brazil,6 to 7 years,NA,Assembly; C; Common Lisp; Lua; Matlab; Python,NA
United States,20 or more years,NA,NA,NA
United States,4 to 5 years,DevOps specialist,Java; Python,NA
Malaysia,8 to 9 years,Web developer; Mobile developer; Systems administrator,JavaScript; Ruby,NA
United States,20 or more years,Web developer,C#; JavaScript; PHP,145e3
Austria,4 to 5 years,Mobile developer; Desktop applications developer,Java; SQL,NA
United Kingdom,4 to 5 years,NA,Python; VB.NET; VBA; Visual Basic 6,NA
Argentina,14 to 15 years,Web developer; Mobile developer,Java; JavaScript,NA
Slovenia,11 to 12 years,Web developer; Mobile developer; Desktop applications developer,C#; Java; JavaScript; SQL,19354.8387096774
Brazil,12 to 13 years,Web developer; Mobile developer; Embedded applications/devices developer; Desktop applications developer,C#; Java; Python,30573.2484076433
South Africa,14 to 15 years,Web developer; Other,C++; C#; CoffeeScript; JavaScript,NA
France,20 or more years,Embedded applications/devices developer; Desktop applications developer,C; C++,32258.064516129
Austria,2 to 3 years,NA,C#; Java; JavaScript; PHP; SQL; TypeScript; VBA,NA
Germany,4 to 5 years,Web developer,Java; JavaScript; PHP,43010.752688172
United States,20 or more years,Web developer; DevOps specialist; Other,Java; JavaScript; Lua; Python; Smalltalk,NA
Netherlands,20 or more years,Embedded applications/devices developer; Desktop applications developer; Systems administrator; Other,Elixir; Perl; Ruby,NA
United Kingdom,7 to 8 years,Web developer; DevOps specialist,Java; JavaScript; Ruby,NA
United States,15 to 16 years,Desktop applications developer,C++; C#; Java; JavaScript; PHP; Python; SQL,65e3
Canada,14 to 15 years,Web developer,Java; JavaScript; Scala,64393.9393939394
United States,8 to 9 years,Web developer; Desktop applications developer; Other,C#; JavaScript,75e3
United States,9 to 10 years,Desktop applications developer; Database administrator,Ruby; SQL; VBA,NA
Germany,20 or more years,Developer with a statistics or mathematics background; Data scientist; Desktop applications developer,C#; Groovy; Java; JavaScript; Lua; PHP; SQL; TypeScript,77419.3548387097
Germany,11 to 12 years,Embedded applications/devices developer,C++; Python,64516.1290322581
United Kingdom,18 to 19 years,Web developer; Data scientist,JavaScript; PHP; SQL,NA
Romania,16 to 17 years,Web developer,Java; JavaScript,NA
United States,20 or more years,Web developer,Java; JavaScript; Python; SQL,NA
India,8 to 9 years,Web developer,Ruby; SQL,8192.62956981354
United Kingdom,13 to 14 years,Developer with a statistics or mathematics background,SQL,NA
France,5 to 6 years,Mobile developer; Embedded applications/devices developer; Desktop applications developer,C; C++; Java; PHP; SQL,34193.5483870968
United States,12 to 13 years,Web developer; Data scientist; Database administrator,C#; JavaScript; SQL; TypeScript,85e3
India,6 to 7 years,Web developer; Desktop applications developer,Java; JavaScript; Python,NA
United States,14 to 15 years,Web developer,C#; JavaScript; SQL,8e4
Poland,15 to 16 years,Web developer,C#; CoffeeScript; SQL,37037.037037037
India,7 to 8 years,Database administrator; Systems administrator,Python,NA
India,12 to 13 years,Web developer; Embedded applications/devices developer; Desktop applications developer,C; JavaScript; Perl,NA
United States,8 to 9 years,Web developer,JavaScript; PHP,65e3
Canada,20 or more years,Web developer; Graphic designer,C#; JavaScript; SQL; VB.NET,47727.2727272727
Netherlands,12 to 13 years,Web developer,Go; Java; JavaScript; Python; Ruby; Rust; SQL; TypeScript,58064.5161290323
United States,20 or more years,Web developer; Desktop applications developer; Other,C; C++; C#; Java; JavaScript,NA
Croatia,9 to 10 years,Other,C++; Python,NA
Argentina,20 or more years,Web developer; Desktop applications developer,Smalltalk,53855.9592096877
Germany,20 or more years,Web developer; Desktop applications developer,C#; JavaScript,NA
United States,20 or more years,Web developer; Desktop applications developer,C#; JavaScript; SQL,13e4
Czech Republic,10 to 11 years,NA,Matlab; Python; R; SQL,NA
Netherlands,9 to 10 years,Web developer; Machine learning specialist; Developer with a statistics or mathematics background,JavaScript; Python,47311.8279569892
Italy,4 to 5 years,Web developer; Graphics programming; Graphic designer,JavaScript; PHP,NA
Romania,9 to 10 years,NA,C++,NA
United Kingdom,20 or more years,Web developer; Desktop applications developer,C#; JavaScript; SQL,73750
India,7 to 8 years,Web developer; Mobile developer,Java; JavaScript; SQL; Swift,17618.5582146528
Pakistan,5 to 6 years,Web developer; Desktop applications developer,C#; JavaScript; Matlab; SQL,4580.15267175573
Germany,6 to 7 years,Embedded applications/devices developer; Desktop applications developer,C; C++; C#; JavaScript,NA
United States,2 to 3 years,Web developer,JavaScript; Ruby,1e5
Russian Federation,20 or more years,NA,C; SQL,NA
Canada,15 to 16 years,Graphics programming; Desktop applications developer,C++; Python,37878.7878787879
Netherlands,12 to 13 years,Web developer,JavaScript; PHP; SQL,40860.2150537634
Canada,20 or more years,NA,Java,NA
China,15 to 16 years,Web developer,Java; JavaScript,NA
China,11 to 12 years,Web developer; Graphics programming; Developer with a statistics or mathematics background,C; C#; Java; JavaScript; SQL,NA
United States,9 to 10 years,Web developer; Mobile developer,Java; JavaScript; Objective-C; Swift; TypeScript,NA
Germany,20 or more years,Web developer; Graphics programming; Desktop applications developer,C++; C#; JavaScript; PHP; Rust,NA
United States,10 to 11 years,Web developer; Embedded applications/devices developer,C; Groovy; Python; Ruby,98e3
Mexico,14 to 15 years,Web developer,C; C#; JavaScript; SQL,23923.4449760766
Sweden,6 to 7 years,Mobile developer; Desktop applications developer,C; C++; C#; Python,NA
United States,3 to 4 years,Web developer; Mobile developer; Desktop applications developer,PHP; SQL; VB.NET,57e3
Romania,11 to 12 years,Web developer,JavaScript; PHP,25e3
Czech Republic,11 to 12 years,NA,Perl,NA
Croatia,2 to 3 years,Web developer; Embedded applications/devices developer; Desktop applications developer,Assembly; C; C++; C#; Dart; Elixir; Erlang; F#; Java; JavaScript; Lua; Python; Ruby; Rust; SQL,NA
Italy,8 to 9 years,NA,C#; JavaScript; Python; R; SQL; VB.NET; VBA; Visual Basic 6,NA
Canada,10 to 11 years,Desktop applications developer,C++; C#,NA
Canada,4 to 5 years,Web developer,Java; JavaScript; SQL,NA
United States,11 to 12 years,Web developer,Java; JavaScript,8e4
Germany,14 to 15 years,Web developer; Desktop applications developer,C++; JavaScript; Python; SQL,46774.1935483871
United States,20 or more years,Desktop applications developer,C#; VB.NET,NA
Bangladesh,4 to 5 years,Web developer,JavaScript; PHP; SQL,5261.83913806064
United States,5 to 6 years,NA,Assembly; C; C++; C#; JavaScript; TypeScript,NA
Portugal,20 or more years,Web developer,Java; JavaScript; PHP; SQL,23655.9139784946
United Kingdom,12 to 13 years,Web developer,JavaScript; PHP; Ruby,NA
United Kingdom,11 to 12 years,Mobile developer,C#; Python,53750
Czech Republic,8 to 9 years,Web developer,C; C++; C#; Groovy; Java; Lua; Python; Rust; Scala,NA
Belgium,5 to 6 years,DevOps specialist; Quality assurance engineer,Java; SQL; VBA,NA
France,3 to 4 years,Web developer; Graphics programming; Graphic designer,JavaScript; TypeScript,NA
Poland,7 to 8 years,NA,C++; Groovy; Java; JavaScript; Python; SQL,NA
Ireland,4 to 5 years,Web developer,Java; SQL,NA
United States,10 to 11 years,Embedded applications/devices developer,Assembly; C; Java; Python; R,72e3
United States,20 or more years,Web developer; Desktop applications developer,C#; JavaScript; PHP; Python; SQL; VBA,129e3
Germany,15 to 16 years,Other,Python,NA
Italy,10 to 11 years,Embedded applications/devices developer,C++; Python; SQL,NA
United States,14 to 15 years,Web developer; Developer with a statistics or mathematics background; Desktop applications developer; Database administrator; DevOps specialist,Java,95e3
United States,14 to 15 years,Web developer; Graphic designer; Other,JavaScript; PHP; SQL,58420
United States,14 to 15 years,Web developer,C#; JavaScript,95e3
Saudi Arabia,5 to 6 years,Mobile developer,Matlab; Swift,NA
Germany,18 to 19 years,NA,Java; Scala,NA
United States,20 or more years,NA,C++; C#; JavaScript; Objective-C; Python; SQL; TypeScript,NA
India,9 to 10 years,Web developer,Java; JavaScript; Perl; Python,NA
United States,1 to 2 years,Web developer,JavaScript; PHP; Smalltalk,75e3
Italy,12 to 13 years,Developer with a statistics or mathematics background,C#,12903.2258064516
Australia,3 to 4 years,Web developer; Graphics programming; Graphic designer,Java; JavaScript; PHP; SQL,NA
United Kingdom,11 to 12 years,Web developer,Java; Python; SQL,45500
United States,20 or more years,Mobile developer,C++; Java; Objective-C; Perl; SQL,NA
Netherlands,4 to 5 years,Web developer; Mobile developer,Python; Swift,50107.5268817204
United States,3 to 4 years,Web developer; Developer with a statistics or mathematics background,C#; JavaScript; SQL; VB.NET,6e4
United Kingdom,20 or more years,Web developer; Graphics programming; Data scientist; Graphic designer,JavaScript; Python; SQL; VBA,NA
United States,1 to 2 years,Web developer,Go; JavaScript; Ruby,7e4
United Kingdom,20 or more years,Web developer; DevOps specialist,Groovy; Java; JavaScript; Perl; Python,168750
Romania,14 to 15 years,NA,Java; JavaScript; PHP; Python; TypeScript,NA
India,3 to 4 years,Mobile developer,Java,2848.33357803553
United States,15 to 16 years,Web developer,JavaScript,NA
United States,5 to 6 years,Web developer,C#; VB.NET,7e4
Italy,10 to 11 years,Web developer; Desktop applications developer,Java; SQL,24731.1827956989
United Kingdom,9 to 10 years,Web developer; Mobile developer; Desktop applications developer,Java; JavaScript; PHP; SQL,37500
India,2 to 3 years,Web developer,C#; JavaScript; SQL,3171.3404786375
Canada,4 to 5 years,NA,C++; C#; JavaScript; Lua; PHP; Python; SQL,NA
Tunisia,4 to 5 years,Web developer,JavaScript; Perl,NA
United States,6 to 7 years,Web developer,JavaScript; Ruby; SQL,NA
United States,7 to 8 years,Desktop applications developer,C++; C#; JavaScript; SQL,77e3
Greece,17 to 18 years,Web developer; Mobile developer,Groovy; Java; JavaScript; Python; Ruby; Swift,NA
Bulgaria,9 to 10 years,Graphics programming; Desktop applications developer,C; C++; PHP,NA
Sweden,20 or more years,Data scientist; Desktop applications developer,C; Java; PHP; R,NA
United States,10 to 11 years,NA,Perl; Python,NA
Philippines,10 to 11 years,Web developer; Desktop applications developer,C#; JavaScript; PHP; Python; SQL,NA
United Kingdom,20 or more years,Desktop applications developer,C#; SQL,NA
Bosnia-Herzegovina,11 to 12 years,Web developer,JavaScript; PHP; SQL,NA
United States,16 to 17 years,Web developer; Mobile developer,Ruby; SQL; Swift,11e4
United Kingdom,20 or more years,Web developer,C#; JavaScript; SQL; TypeScript,72500
United States,15 to 16 years,Web developer,CoffeeScript; JavaScript; TypeScript,NA
Canada,4 to 5 years,Quality assurance engineer,Python,NA
India,2 to 3 years,Web developer,JavaScript; PHP; SQL,NA
Germany,11 to 12 years,Web developer; Mobile developer; Desktop applications developer; Database administrator; Systems administrator; DevOps specialist,Java; JavaScript; Python; Scala,62365.5913978495
Russian Federation,2 to 3 years,Web developer,JavaScript; Python,8354.21888053467
United States,18 to 19 years,Web developer,JavaScript; Python,NA
United Kingdom,15 to 16 years,Web developer,JavaScript; PHP; SQL,6e4
India,9 to 10 years,Other,C; C++; Perl; Python,NA
Trinidad and Tobago,20 or more years,NA,F#; JavaScript; PHP; Python,NA
Spain,14 to 15 years,Web developer,JavaScript; PHP; SQL,NA
United States,18 to 19 years,Desktop applications developer,C#; SQL,14e4
United States,3 to 4 years,NA,C; C++; PHP; Python; SQL,NA
China,10 to 11 years,Web developer,JavaScript; PHP; SQL,34883.7209302326
Sri Lanka,5 to 6 years,Web developer; Graphic designer,JavaScript,NA
United States,20 or more years,Desktop applications developer,Java; JavaScript; PHP; SQL; VB.NET,NA
Finland,19 to 20 years,Web developer,Groovy; Java; JavaScript; SQL,NA
Russian Federation,9 to 10 years,Web developer,JavaScript; PHP; SQL,NA
Iceland,3 to 4 years,NA,C#; Java; JavaScript; SQL,NA
Netherlands,20 or more years,Embedded applications/devices developer; Graphics programming; Desktop applications developer,C; C++; C#; Java; JavaScript; PHP; Python; SQL; VBA; Visual Basic 6,NA
Canada,7 to 8 years,Desktop applications developer,C#; Go; Java; JavaScript,49242.4242424242
United States,20 or more years,NA,Java; Python; Ruby; Scala; SQL,NA
Canada,20 or more years,Mobile developer; Desktop applications developer,C#; SQL,NA
Australia,10 to 11 years,Web developer; Mobile developer,Lua; PHP,28787.8787878788
France,8 to 9 years,NA,Python,NA
New Zealand,7 to 8 years,Web developer; Systems administrator; DevOps specialist,C++; C#; F#; JavaScript; SQL; TypeScript,46428.5714285714
Canada,9 to 10 years,Web developer; Developer with a statistics or mathematics background; DevOps specialist,Go; JavaScript; Python; Scala; Smalltalk,68181.8181818182
United States,20 or more years,Web developer,Java,NA
United States,2 to 3 years,NA,JavaScript; PHP; Python; SQL,NA
India,12 to 13 years,Web developer; DevOps specialist,Java; JavaScript; Python; Scala,NA
United Arab Emirates,6 to 7 years,Web developer; Mobile developer,Go; Java; Objective-C; Python; Swift,3e3
United States,20 or more years,Web developer; Database administrator,C#; JavaScript; Python,NA
United States,4 to 5 years,Web developer,C#; JavaScript; Python; SQL,74e3
Germany,3 to 4 years,NA,C; C++; Java; JavaScript; Objective-C; Python; R; SQL,NA
United States,10 to 11 years,Web developer,Java; JavaScript; Ruby; SQL,NA
United Kingdom,9 to 10 years,Web developer; Systems administrator,JavaScript; Python,62500
Sweden,20 or more years,Web developer; Developer with a statistics or mathematics background; Desktop applications developer,C#; JavaScript; SQL,73529.4117647059
Germany,3 to 4 years,NA,C#; JavaScript; Python,NA
China,10 to 11 years,Web developer; Developer with a statistics or mathematics background,Java; JavaScript; Python; SQL,NA
Italy,20 or more years,Embedded applications/devices developer,C; C++; C#,49462.3655913978
Germany,20 or more years,NA,Python,NA
India,4 to 5 years,Web developer,C#; JavaScript; SQL; TypeScript,NA
United States,6 to 7 years,Web developer; Mobile developer,JavaScript; PHP; SQL,NA
Norway,3 to 4 years,Web developer,JavaScript; Lua; TypeScript,NA
United States,18 to 19 years,Web developer,C#; JavaScript; SQL,155e3
India,6 to 7 years,Web developer; Developer with a statistics or mathematics background,JavaScript; Perl; PHP; SQL,NA
United States,17 to 18 years,Web developer,Go; JavaScript; PHP,NA
Canada,5 to 6 years,NA,C#; JavaScript; SQL; VB.NET; VBA,NA
Italy,4 to 5 years,Web developer; Database administrator; Systems administrator,C#; JavaScript; PHP; SQL; Visual Basic 6,19354.8387096774
South Korea,6 to 7 years,Web developer; Database administrator; Systems administrator,Java; SQL,NA
Germany,4 to 5 years,Embedded applications/devices developer; Graphics programming; Developer with a statistics or mathematics background; Data scientist,C; C++; Matlab,45161.2903225806
United States,13 to 14 years,Web developer,Clojure; JavaScript,112e3
United Kingdom,14 to 15 years,Other,C; C++; Go; Java; Ruby; Swift,NA
Germany,8 to 9 years,Web developer; Mobile developer,Java; Objective-C; SQL; Swift,12903.2258064516
United States,5 to 6 years,Web developer; Mobile developer,JavaScript; Ruby,12e4
United States,5 to 6 years,Data scientist,Java; JavaScript; Python; SQL; Swift,NA
United States,19 to 20 years,Web developer,Java; JavaScript; Python,165e3
United States,20 or more years,Mobile developer; Desktop applications developer,C#; Python; Swift,166500
United States,4 to 5 years,Web developer,C#; JavaScript,38e3
United States,4 to 5 years,Web developer; Developer with a statistics or mathematics background; Data scientist,R,72e3
Slovenia,5 to 6 years,Web developer; Database administrator; Systems administrator,C++; CoffeeScript; Elixir; Haskell; Java; JavaScript; PHP; Python; Ruby; SQL,NA
Iran,4 to 5 years,Mobile developer,C#; Swift,1481.75588071865
Slovenia,12 to 13 years,Web developer,JavaScript; PHP,23870.9677419355
Sweden,10 to 11 years,Web developer,C#; JavaScript; SQL,NA
United States,8 to 9 years,NA,Python; SQL,NA
Mauritius,Less than a year,Web developer,C#; JavaScript; PHP; Python; SQL; VB.NET,NA
United States,1 to 2 years,Web developer,JavaScript; SQL,85200
Switzerland,7 to 8 years,Embedded applications/devices developer; Developer with a statistics or mathematics background; Desktop applications developer; DevOps specialist,C; C#; Go; Java; JavaScript; Scala,NA
United States,7 to 8 years,Web developer; Other,C; Go,106e3
United States,9 to 10 years,Web developer; Desktop applications developer,C#; JavaScript; SQL; VB.NET; VBA; Visual Basic 6,138500
Germany,16 to 17 years,Desktop applications developer,Groovy; Java,67741.935483871
United States,10 to 11 years,Web developer; Systems administrator; Quality assurance engineer,C; C#; Java; Python; SQL,NA
United States,10 to 11 years,Web developer; Embedded applications/devices developer; Desktop applications developer,C; C++; Go; JavaScript; R,NA
United States,2 to 3 years,NA,C; JavaScript; Python; SQL; Swift,NA
